title,country,country_name,iso,count
Silvia_Saint,/m/01mjq,Czech Republic,CZE,107
Asha-Rose_Migiro,/m/07dzf,Tanzania,TZA,3
Yoko_Ono,/m/03_3d,Japan,JPN,544
Safia_Farkash,/m/04gqr,Libya,LBY,18
Elsa_Pataky,/m/06mkj,Spain,ESP,524
Angelique_Kidjo,/m/0164v,Benin,BEN,3
Amelia_Vega,/m/027rn,Dominican Republic,DOM,15
Ella_Koon,/m/02wzv,French Polynesia,PYF,4
Rigoberta_Menchu_Tum,/m/0345_,Guatemala,GTM,1
Priyanka_Chopra,/m/03rk0,India,IND,574
Sirimavo_Bandaranaike,/m/06m_5,Sri Lanka,LKA,10
Malalai_Joya,/m/0jdd,Afghanistan,AFG,5
Masiela_Lusha,/m/0jdx,Albania,ALB,17
Zsa_Zsa_Gabor,/m/03gj2,Hungary,HUN,283
Tawakkul_Karman,/m/01z88t,Yemen,YEM,11
Ellen_Johnson_Sirleaf,/m/04hzj,Liberia,LBR,46
Jordana_Brewster,/m/05qx1,Panama,PAN,190
Ayaan_Hirsi_Ali,/m/06tgw,Somalia,SOM,54
Majeedah_Bolkiah,/m/0167v,Brunei,BRN,4
Maziah_Mahusin,/m/0167v,Brunei,BRN,4
Kaiane_Aldorino,/m/035hm,Gibraltar,GIB,10
Marie_Curie,/m/05qhw,Poland,POL,584
Imelda_Marcos,/m/05v8c,Philippines,PHL,82
Kylie_Minogue,/m/0chghy,Australia,AUS,402
Miranda_Kerr,/m/0chghy,Australia,AUS,402
Rachel_McAdams,/m/0d060g,Canada,CAN,785
Maria_do_Carmo_Silveira,/m/0j681,São Tomé and Príncipe,STP,1
Alida_Valli,/m/01pj7,Croatia,HRV,14
Susianna_Kentikian,/m/0jgx,Armenia,ARM,2
Pauline_Nyiramasuhuko,/m/06dfg,Rwanda,RWA,1
Emma_Watson,/m/0f8l9c,France,FRA,898
Marie_Antoinette,/m/0h7x,Austria,AUT,433
Josephine_de_Beauharnais,/m/04vg8,Martinique,MTQ,7
Famke_Janssen,/m/059j2,Netherlands,NLD,212
Mata_Hari,/m/059j2,Netherlands,NLD,212
Lucy_Lawless,/m/0ctw_b,New Zealand,NZL,235
